Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Difference
Christian McCaffrey,1.0,RB1,1.0,140.0,CAR,RB,25.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,99.0,442.0,4.46,1.0,41.0,37.0,343.0,9.27,1.0,1.0,0.0,2.0,0.0,0.0,91.0,127.5,133.5,109.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,1.0,22.9,9.0,20.0,0.0,24.3,3.0,-2.0,0.0,20.0,2.0,2.0,100.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-139.0
Dalvin Cook,2.0,RB2,2.0,46.0,MIN,RB,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,249.0,1159.0,4.65,6.0,49.0,34.0,224.0,6.59,0.0,3.0,2.0,6.0,1.0,0.0,172.0,206.3,214.3,189.3,25.0,15.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,112.0,5.0,54.2,26.0,35.0,4.0,54.2,12.0,2.0,3.0,70.6,1.0,1.0,100.0,4.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,-44.0
Derrick Henry,3.0,RB3,3.0,44.0,TEN,RB,27.0,8.0,8.0,1.0,1.0,5.0,1.0,0.0,219.0,937.0,4.28,10.0,20.0,18.0,154.0,8.56,0.0,1.0,0.0,10.0,1.0,0.0,175.0,193.3,199.3,184.3,28.0,14.0,44.0,1.0,1.0,100.0,5.0,1.0,0.0,1.0,1.0,100.0,5.0,1.0,0.0,34.0,103.0,9.0,41.0,19.0,53.0,8.0,42.2,9.0,8.0,5.0,39.1,2.0,2.0,100.0,7.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,-41.0
Alvin Kamara,4.0,RB4,4.0,32.0,NOR,RB,26.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,240.0,898.0,3.74,4.0,67.0,47.0,439.0,9.34,5.0,0.0,0.0,9.0,0.0,0.0,188.0,234.7,240.7,211.2,39.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,87.0,3.0,52.6,17.0,11.0,2.0,54.8,9.0,-1.0,2.0,60.0,12.0,9.0,75.0,70.0,5.0,19.4,5.0,3.0,60.0,9.0,1.0,19.2,-28.0
Ezekiel Elliott,5.0,RB5,5.0,22.0,DAL,RB,26.0,17.0,17.0,1.0,1.0,4.0,0.0,0.0,237.0,1002.0,4.23,10.0,65.0,47.0,287.0,6.11,2.0,1.0,1.0,12.0,3.0,0.0,205.0,252.1,259.1,228.6,56.0,6.0,22.0,1.0,1.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,124.0,10.0,48.6,18.0,27.0,7.0,52.9,12.0,10.0,6.0,60.0,14.0,10.0,71.43,41.0,2.0,13.9,5.0,5.0,100.0,22.0,2.0,13.9,-17.0
Nick Chubb,6.0,RB6,6.0,24.0,CLE,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,228.0,1259.0,5.52,8.0,25.0,20.0,174.0,8.7,1.0,2.0,1.0,9.0,0.0,0.0,195.0,215.3,222.3,205.3,46.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,124.0,5.0,44.3,22.0,46.0,4.0,51.2,10.0,15.0,4.0,52.6,1.0,1.0,100.0,5.0,1.0,1.8,1.0,1.0,100.0,5.0,1.0,3.6,-18.0
Aaron Jones,7.0,RB7,8.3,42.0,GNB,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,171.0,799.0,4.67,4.0,65.0,52.0,391.0,7.52,6.0,2.0,1.0,10.0,0.0,0.0,177.0,229.0,236.0,203.0,29.0,13.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,91.0,4.0,37.1,16.0,32.0,4.0,35.6,6.0,9.0,4.0,30.0,17.0,14.0,82.35,66.0,5.0,14.4,5.0,5.0,100.0,19.0,3.0,9.8,-33.7
Davante Adams,8.0,WR1,8.3,12.0,GNB,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,123.0,1553.0,12.63,11.0,0.0,0.0,11.0,0.0,0.0,221.0,344.3,347.3,282.8,94.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,67.86,115.0,10.0,23.7,14.0,10.0,71.43,31.0,7.0,27.5,-3.6999999999999993
Jonathan Taylor,9.0,RB8,8.5,1.0,IND,RB,22.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,332.0,1811.0,5.45,18.0,51.0,40.0,360.0,9.0,2.0,4.0,2.0,20.0,0.0,0.0,333.0,373.1,381.1,353.1,176.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,251.0,14.0,80.2,41.0,64.0,13.0,78.8,26.0,27.0,11.0,83.9,2.0,2.0,100.0,13.0,0.0,3.2,1.0,1.0,100.0,7.0,0.0,2.8,7.5
Saquon Barkley,10.0,RB9,10.0,115.0,NYG,RB,24.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,162.0,593.0,3.66,2.0,57.0,41.0,263.0,6.41,2.0,2.0,1.0,4.0,0.0,0.0,108.0,148.6,155.6,128.1,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,2.0,24.4,6.0,13.0,2.0,26.1,2.0,2.0,1.0,18.2,3.0,1.0,33.33,18.0,1.0,5.4,1.0,0.0,0.0,0.0,0.0,3.6,-105.0
Tyreek Hill,11.0,WR2,11.0,19.0,KAN,WR,27.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,96.0,10.67,0.0,159.0,111.0,1239.0,11.16,9.0,2.0,1.0,9.0,0.0,0.0,186.0,296.5,300.5,241.0,60.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,66.67,107.0,8.0,25.6,12.0,9.0,75.0,38.0,7.0,20.0,-8.0
Travis Kelce,12.0,TE1,11.3,15.0,KAN,TE,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,1.0,134.0,92.0,1125.0,12.23,9.0,1.0,1.0,10.0,0.0,0.0,171.0,262.8,266.8,216.8,74.0,2.0,15.0,1.0,1.0,100.0,2.0,1.0,0.0,1.0,1.0,100.0,2.0,1.0,0.0,2.0,3.0,1.0,2.2,2.0,3.0,1.0,3.8,2.0,3.0,1.0,9.1,20.0,18.0,90.0,106.0,9.0,17.1,12.0,12.0,100.0,47.0,8.0,20.0,-3.6999999999999993
Patrick Mahomes,13.0,QB1,14.3,13.0,KAN,QB,26.0,17.0,17.0,436.0,658.0,4839.0,37.0,13.0,66.0,381.0,5.77,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,1.0,1.0,362.0,361.7,384.7,374.7,88.0,4.0,13.0,80.0,122.0,65.57,425.0,34.0,3.0,45.0,63.0,71.43,164.0,29.0,3.0,21.0,87.0,3.0,22.6,10.0,33.0,3.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000000000000007
Najee Harris,14.0,RB10,14.3,14.0,PIT,RB,23.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,307.0,1200.0,3.91,7.0,94.0,74.0,467.0,6.31,3.0,0.0,0.0,10.0,0.0,0.0,227.0,300.7,306.7,263.7,76.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,91.0,6.0,70.7,17.0,31.0,6.0,73.9,10.0,2.0,4.0,66.7,14.0,8.0,57.14,29.0,2.0,14.3,6.0,4.0,66.67,19.0,2.0,13.6,0.3000000000000007
Austin Ekeler,15.0,RB11,14.5,5.0,LAC,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,206.0,911.0,4.42,12.0,94.0,70.0,647.0,9.24,8.0,4.0,3.0,20.0,2.0,0.0,274.0,343.8,352.8,308.8,120.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,156.0,12.0,46.0,25.0,55.0,10.0,48.1,12.0,13.0,7.0,52.2,16.0,14.0,87.5,135.0,8.0,16.3,3.0,2.0,66.67,12.0,2.0,6.1,9.5
